Date,Oil Index
2015-05-07,98.14323617382809
2015-05-08,98.18683026540494
2015-05-11,98.3694860377022
2015-05-12,99.4895242537649
2015-05-13,99.81373721655542
2015-05-14,99.75769102498589
2015-05-15,99.2571282194852
2015-05-19,96.652149929259
2015-05-20,97.28084582987445
2015-05-21,98.85866200268879
2015-05-22,97.45088685204153
2015-05-26,97.09773715303
2015-05-27,95.98198875653216
2015-05-28,96.52499336739628
2015-05-29,99.55212890548377
2015-06-01,100.93871637064771
2015-06-02,101.58259046963651
2015-06-03,100.57863900006254
2015-06-04,99.42212587435888
2015-06-05,100.50580539449963
2015-06-08,99.68407419125296
2015-06-09,100.97969318355315
2015-06-10,101.4572467722777
2015-06-11,100.75996597706336
2015-06-12,99.63496572774056
2015-06-15,98.53352160163249
2015-06-16,99.55591405634374
2015-06-17,99.83167573582402
2015-06-18,99.245766564636
2015-06-19,98.57987930966331
2015-06-22,98.86276310830019
2015-06-23,99.72209468721272
2015-06-24,100.02849080848455
2015-06-25,99.58963300953415
2015-06-26,99.66841399300608
2015-06-29,98.66207159543134
2015-06-30,99.8839546935087
2015-07-02,98.9263132248849
2015-07-06,94.32673593476028
2015-07-07,92.90844821652495
2015-07-08,92.33927058096168
2015-07-09,94.36802101544686
2015-07-10,94.52152384287072
2015-07-13,94.25090717425378
2015-07-14,94.3133497390662
2015-07-15,92.66335619367199
2015-07-16,92.31999576533462
2015-07-20,91.69767155589338
2015-07-21,92.3593897187655
2015-07-22,91.34070687619842
2015-07-23,90.43204848859375
2015-07-24,89.31055234848253
2015-07-27,87.63585943034937
2015-07-28,88.13783558759367
2015-07-29,88.02687346886273
2015-07-30,88.11538747366279
2015-07-31,87.03958569895374
2015-08-04,84.93608425090132
2015-08-05,84.20042986523497
2015-08-06,83.88792009516179
2015-08-07,83.62281948374172
2015-08-10,84.99519926096026
2015-08-11,83.61068186628923
2015-08-12,82.52622281351702
2015-08-13,82.41761525091303
2015-08-14,82.41460746137993
2015-08-17,82.40933707652704
2015-08-18,82.23669401474048
2015-08-19,80.40317798739356
2015-08-20,80.06581980642541
2015-08-21,78.65441410875536
2015-08-24,75.5239579226316
2015-08-25,76.17055802030161
2015-08-26,74.9393603031932
2015-08-27,79.27335848526343
2015-08-28,82.87542473232503
2015-09-01,82.64175787948216
2015-09-02,82.49950172619965
2015-09-03,83.5415728157509
2015-09-04,82.52785543440287
2015-09-08,83.31133065234836
2015-09-09,82.01242362046465
2015-09-10,83.6338363684783
2015-09-11,82.62829181628089
2015-09-14,82.3901320360219
2015-09-15,81.88954383130155
2015-09-17,83.64986187040961
2015-09-18,81.62966185666622
2015-09-21,83.54638794901646
2015-09-22,83.2480606772626
2015-09-23,83.32735571363857
2015-09-25,85.73394244295353
2015-09-28,84.74685405014137
2015-09-29,86.21131926751644
2015-09-30,85.3334747996959
2015-10-01,85.27611283795532
2015-10-02,85.61010928519805
2015-10-05,87.3620759307534
2015-10-06,89.04245973749987
2015-10-07,87.99505259997753
2015-10-08,88.43283635146857
2015-10-09,87.84287698258315
2015-10-13,86.55482406518308
2015-10-15,85.71897876858755
2015-10-16,86.92347299660906
2015-10-19,85.11050411308835
2015-10-20,85.61005893563527
2015-10-21,86.0022888448904
2015-10-22,85.99151506595769
2015-10-23,85.16257472152358
2015-10-26,83.71787148669443
2015-10-27,83.42718272321316
2015-10-28,85.92749674489535
2015-10-29,85.97697122722788
2015-10-30,86.60939133615805
2015-11-02,85.70010281899532
2015-11-03,87.23108509971397
2015-11-04,86.58116457691928
2015-11-05,85.29346201699556
2015-11-06,84.69772372999662
2015-11-09,84.78749356091195
2015-11-12,82.07770940553779
2015-11-13,80.66324298517983
2015-11-16,81.42899714967862
2015-11-17,80.91026369876725
2015-11-18,81.27028805672907
2015-11-19,81.18722869275825
2015-11-20,81.33816983448983
2015-11-23,81.98164862617317
2015-11-24,83.07078096065203
2015-11-25,83.57819538396981
2015-11-27,82.80798299677625
2015-11-30,82.80609664927964
2015-12-01,82.78719015175444
2015-12-02,81.32433458040002
2015-12-03,82.78588831621279
2015-12-04,82.66733331913912
2015-12-07,80.50014001902636
2015-12-08,79.98560563163278
2015-12-09,79.33309923107386
2015-12-10,79.3412290528887
2015-12-11,78.00854013598038
2015-12-14,77.77930725249412
2015-12-15,77.96688936266611
2015-12-16,76.93244891636506
2015-12-17,76.30783957909092
2015-12-18,76.750423012287
2015-12-21,76.65270565944418
2015-12-22,77.24212395935413
2015-12-23,78.58420662390937
2015-12-29,79.0810587251655
2015-12-30,77.97495048429693
2015-12-31,78.05953491858351
2016-01-04,77.29163672999961
2016-01-05,76.73584602278302
2016-01-06,74.6093225359899
2016-01-07,73.80024766101629
2016-01-08,73.25255651321254
2016-01-11,71.00825646289829
2016-01-12,70.21940046086716
2016-01-13,70.32957592828822
2016-01-14,70.91102724326045
2016-01-15,69.26036649366434
2016-01-19,69.14490237435058
2016-01-20,66.85773945765622
2016-01-21,69.0953580473706
2016-01-22,72.86695112957668
2016-01-26,72.5140667443158
2016-01-27,74.02314119584221
2016-01-28,74.97453030555259
2016-01-29,75.15898345230816
2016-02-02,72.83710656987246
2016-02-03,75.59335893147365
2016-02-04,75.30562390813223
2016-02-05,74.92420354105019
2016-02-10,70.8721176283351
2016-02-11,70.4396361205136
2016-02-12,74.99238139833759
2016-02-16,73.7133871767545
2016-02-17,76.2106146224945
2016-02-18,76.02048458804953
2016-02-19,74.31743831337158
2016-02-22,76.10648827508277
2016-02-23,74.68373783577223
2016-02-24,75.17496927615127
2016-02-25,75.9149432094006
